"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"POL","GDP","TOT","USD_CAP","A","2018",31613.688164,
"POL","GDP","TOT","USD_CAP","A","2019",33777.646597,
"POL","GDP","TOT","USD_CAP","A","2020",33356.123878,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34931.85988,
"PRT","GDP","TOT","USD_CAP","A","2019",36871.73897,"P"
"PRT","GDP","TOT","USD_CAP","A","2020",34240.614063,"E"
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"SVK","GDP","TOT","USD_CAP","A","2017",30097.992379,
"SVK","GDP","TOT","USD_CAP","A","2018",31561.916967,
"SVK","GDP","TOT","USD_CAP","A","2019",32550.322192,
"SVK","GDP","TOT","USD_CAP","A","2020",31288.651882,"E"
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"ESP","GDP","TOT","USD_CAP","A","2018",40780.287322,"P"
"ESP","GDP","TOT","USD_CAP","A","2019",42211.809525,"P"
"ESP","GDP","TOT","USD_CAP","A","2020",37850.876195,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53553.312077,
"SWE","GDP","TOT","USD_CAP","A","2019",55068.767404,
"SWE","GDP","TOT","USD_CAP","A","2020",53719.497913,
"CHE","GDP","TOT","USD_CAP","A","2016",68105.138178,
"CHE","GDP","TOT","USD_CAP","A","2017",69103.567686,
"CHE","GDP","TOT","USD_CAP","A","2018",71705.600337,
"CHE","GDP","TOT","USD_CAP","A","2019",73114.493516,
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28193.061398,
"TUR","GDP","TOT","USD_CAP","A","2018",28263.241827,
"TUR","GDP","TOT","USD_CAP","A","2019",27599.829476,
"GBR","GDP","TOT","USD_CAP","A","2016",44125.534988,
"GBR","GDP","TOT","USD_CAP","A","2017",45757.778123,
"GBR","GDP","TOT","USD_CAP","A","2018",47163.170633,
"GBR","GDP","TOT","USD_CAP","A","2019",48542.092734,
"GBR","GDP","TOT","USD_CAP","A","2020",43902.773625,
"USA","GDP","TOT","USD_CAP","A","2016",58000.888034,
"USA","GDP","TOT","USD_CAP","A","2017",60091.568784,
"USA","GDP","TOT","USD_CAP","A","2018",63043.046469,
"USA","GDP","TOT","USD_CAP","A","2019",65240.379025,
"CHL","GDP","TOT","USD_CAP","A","2016",23349.677001,
"CHL","GDP","TOT","USD_CAP","A","2017",24402.910125,
"CHL","GDP","TOT","USD_CAP","A","2018",24743.079558,
"CHL","GDP","TOT","USD_CAP","A","2019",26128.403651,
"COL","GDP","TOT","USD_CAP","A","2016",14054.69606,
"COL","GDP","TOT","USD_CAP","A","2017",14479.812544,
"COL","GDP","TOT","USD_CAP","A","2018",15227.474352,"P"
"COL","GDP","TOT","USD_CAP","A","2019",16086.571243,"E"
"EST","GDP","TOT","USD_CAP","A","2016",31574.446846,
"EST","GDP","TOT","USD_CAP","A","2017",33902.097344,
"EST","GDP","TOT","USD_CAP","A","2018",36406.04542,
"EST","GDP","TOT","USD_CAP","A","2019",38880.845059,
"EST","GDP","TOT","USD_CAP","A","2020",38359.249172,
"ISR","GDP","TOT","USD_CAP","A","2016",37806.427116,
"ISR","GDP","TOT","USD_CAP","A","2017",38849.910298,
"ISR","GDP","TOT","USD_CAP","A","2018",40351.274189,
"ISR","GDP","TOT","USD_CAP","A","2019",41964.735422,
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36515.702826,
"SVN","GDP","TOT","USD_CAP","A","2018",38952.0625,
"SVN","GDP","TOT","USD_CAP","A","2019",41181.425696,
"SVN","GDP","TOT","USD_CAP","A","2020",38727.415299,
"OECD","GDP","TOT","USD_CAP","A","2016",41905.881345,
"OECD","GDP","TOT","USD_CAP","A","2017",43519.043442,
"OECD","GDP","TOT","USD_CAP","A","2018",45244.659333,"P"
"OECD","GDP","TOT","USD_CAP","A","2019",46488.303809,"E"
"LVA","GDP","TOT","USD_CAP","A","2016",26712.835239,
"LVA","GDP","TOT","USD_CAP","A","2017",28666.003742,
"LVA","GDP","TOT","USD_CAP","A","2018",30814.222639,
"LVA","GDP","TOT","USD_CAP","A","2019",32013.343219,
"LVA","GDP","TOT","USD_CAP","A","2020",31367.284335,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33761.906595,
"LTU","GDP","TOT","USD_CAP","A","2018",36346.416674,
"LTU","GDP","TOT","USD_CAP","A","2019",38756.14082,
"LTU","GDP","TOT","USD_CAP","A","2020",38777.34523,
