"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","EDUTRY","25_34","PC_AGE","A","2019",33.260235,
"GRC","EDUTRY","25_34","PC_AGE","A","2016",40.979172,
"GRC","EDUTRY","25_34","PC_AGE","A","2017",42.479965,
"GRC","EDUTRY","25_34","PC_AGE","A","2018",42.821678,
"GRC","EDUTRY","25_34","PC_AGE","A","2019",42.406635,
"HUN","EDUTRY","25_34","PC_AGE","A","2016",30.400248,
"HUN","EDUTRY","25_34","PC_AGE","A","2017",30.162258,
"HUN","EDUTRY","25_34","PC_AGE","A","2018",30.576908,
"HUN","EDUTRY","25_34","PC_AGE","A","2019",30.589085,
"ISL","EDUTRY","25_34","PC_AGE","A","2016",43.270977,
"ISL","EDUTRY","25_34","PC_AGE","A","2017",47.419262,
"ISL","EDUTRY","25_34","PC_AGE","A","2018",47.014381,
"ISL","EDUTRY","25_34","PC_AGE","A","2019",47.06115,
"IRL","EDUTRY","25_34","PC_AGE","A","2017",53.473541,
"IRL","EDUTRY","25_34","PC_AGE","A","2018",56.174488,
"IRL","EDUTRY","25_34","PC_AGE","A","2019",55.44894,
"ITA","EDUTRY","25_34","PC_AGE","A","2016",25.584146,
"ITA","EDUTRY","25_34","PC_AGE","A","2017",26.816479,
"ITA","EDUTRY","25_34","PC_AGE","A","2018",27.726679,
"ITA","EDUTRY","25_34","PC_AGE","A","2019",27.744524,
"JPN","EDUTRY","25_34","PC_AGE","A","2016",60.120392,
"JPN","EDUTRY","25_34","PC_AGE","A","2017",60.426178,
"JPN","EDUTRY","25_34","PC_AGE","A","2018",60.730949,
"JPN","EDUTRY","25_34","PC_AGE","A","2019",61.514194,
"KOR","EDUTRY","25_34","PC_AGE","A","2016",69.851555,
"KOR","EDUTRY","25_34","PC_AGE","A","2017",69.752068,
"KOR","EDUTRY","25_34","PC_AGE","A","2018",69.574219,
"KOR","EDUTRY","25_34","PC_AGE","A","2019",69.802818,
"LUX","EDUTRY","25_34","PC_AGE","A","2016",51.431648,
"LUX","EDUTRY","25_34","PC_AGE","A","2017",51.395588,
"LUX","EDUTRY","25_34","PC_AGE","A","2018",54.780186,
"LUX","EDUTRY","25_34","PC_AGE","A","2019",54.989532,
"MEX","EDUTRY","25_34","PC_AGE","A","2016",21.791378,
"MEX","EDUTRY","25_34","PC_AGE","A","2017",22.555721,
"MEX","EDUTRY","25_34","PC_AGE","A","2018",23.359127,
"MEX","EDUTRY","25_34","PC_AGE","A","2019",23.587111,
"NLD","EDUTRY","25_34","PC_AGE","A","2016",45.223412,
"NLD","EDUTRY","25_34","PC_AGE","A","2017",46.594383,
"NLD","EDUTRY","25_34","PC_AGE","A","2018",47.603172,
"NLD","EDUTRY","25_34","PC_AGE","A","2019",49.103264,
"NZL","EDUTRY","25_34","PC_AGE","A","2016",43.396225,
"NZL","EDUTRY","25_34","PC_AGE","A","2017",44.158596,
"NZL","EDUTRY","25_34","PC_AGE","A","2018",45.811745,
"NZL","EDUTRY","25_34","PC_AGE","A","2019",43.792194,
"NOR","EDUTRY","25_34","PC_AGE","A","2016",48.614609,
"NOR","EDUTRY","25_34","PC_AGE","A","2017",48.337029,
"NOR","EDUTRY","25_34","PC_AGE","A","2018",48.211601,
"NOR","EDUTRY","25_34","PC_AGE","A","2019",48.658932,
"POL","EDUTRY","25_34","PC_AGE","A","2016",43.47826,
"POL","EDUTRY","25_34","PC_AGE","A","2017",43.526325,
"POL","EDUTRY","25_34","PC_AGE","A","2018",43.523716,
"POL","EDUTRY","25_34","PC_AGE","A","2019",43.484364,
"PRT","EDUTRY","25_34","PC_AGE","A","2016",34.964241,
"PRT","EDUTRY","25_34","PC_AGE","A","2017",34.031322,
"PRT","EDUTRY","25_34","PC_AGE","A","2018",35.078072,
"PRT","EDUTRY","25_34","PC_AGE","A","2019",37.36721,
"SVK","EDUTRY","25_34","PC_AGE","A","2016",33.372261,
"SVK","EDUTRY","25_34","PC_AGE","A","2017",35.065048,
"SVK","EDUTRY","25_34","PC_AGE","A","2018",37.208523,
"SVK","EDUTRY","25_34","PC_AGE","A","2019",39.158154,
"ESP","EDUTRY","25_34","PC_AGE","A","2016",40.980919,
"ESP","EDUTRY","25_34","PC_AGE","A","2017",42.644691,
"ESP","EDUTRY","25_34","PC_AGE","A","2018",44.259609,
"ESP","EDUTRY","25_34","PC_AGE","A","2019",46.508266,
"SWE","EDUTRY","25_34","PC_AGE","A","2016",47.215698,
"SWE","EDUTRY","25_34","PC_AGE","A","2017",47.388306,
"SWE","EDUTRY","25_34","PC_AGE","A","2018",47.530075,
"SWE","EDUTRY","25_34","PC_AGE","A","2019",48.373196,
"CHE","EDUTRY","25_34","PC_AGE","A","2016",48.844658,
"CHE","EDUTRY","25_34","PC_AGE","A","2017",50.136665,
"CHE","EDUTRY","25_34","PC_AGE","A","2018",51.206909,
"CHE","EDUTRY","25_34","PC_AGE","A","2019",52.695705,
"TUR","EDUTRY","25_34","PC_AGE","A","2016",30.456598,
"TUR","EDUTRY","25_34","PC_AGE","A","2017",31.588659,
"TUR","EDUTRY","25_34","PC_AGE","A","2018",33.280041,
"TUR","EDUTRY","25_34","PC_AGE","A","2019",35.325356,
"GBR","EDUTRY","25_34","PC_AGE","A","2016",51.775383,
"GBR","EDUTRY","25_34","PC_AGE","A","2017",51.624851,
"GBR","EDUTRY","25_34","PC_AGE","A","2018",50.752552,
"GBR","EDUTRY","25_34","PC_AGE","A","2019",51.809521,
"USA","EDUTRY","25_34","PC_AGE","A","2016",47.521809,
"USA","EDUTRY","25_34","PC_AGE","A","2017",47.757,
"USA","EDUTRY","25_34","PC_AGE","A","2018",49.373737,
"USA","EDUTRY","25_34","PC_AGE","A","2019",50.380188,
"CHL","EDUTRY","25_34","PC_AGE","A","2017",33.726387,
"EST","EDUTRY","25_34","PC_AGE","A","2016",41.048111,
"EST","EDUTRY","25_34","PC_AGE","A","2017",43.041157,
"EST","EDUTRY","25_34","PC_AGE","A","2018",43.633705,
"EST","EDUTRY","25_34","PC_AGE","A","2019",42.760071,
"ISR","EDUTRY","25_34","PC_AGE","A","2016",47.449234,
"ISR","EDUTRY","25_34","PC_AGE","A","2017",48.028301,
"ISR","EDUTRY","25_34","PC_AGE","A","2018",47.1143,
"ISR","EDUTRY","25_34","PC_AGE","A","2019",47.04248,
"SVN","EDUTRY","25_34","PC_AGE","A","2016",42.977364,
"SVN","EDUTRY","25_34","PC_AGE","A","2017",44.566971,
"SVN","EDUTRY","25_34","PC_AGE","A","2018",40.713264,
"SVN","EDUTRY","25_34","PC_AGE","A","2019",44.105736,
"OAVG","EDUTRY","25_34","PC_AGE","A","2016",42.541551,
"OAVG","EDUTRY","25_34","PC_AGE","A","2017",43.296392,
"OAVG","EDUTRY","25_34","PC_AGE","A","2018",44.128715,
"OAVG","EDUTRY","25_34","PC_AGE","A","2019",44.893938,
"LVA","EDUTRY","25_34","PC_AGE","A","2016",42.097309,
"LVA","EDUTRY","25_34","PC_AGE","A","2017",41.608852,
"LVA","EDUTRY","25_34","PC_AGE","A","2018",41.648941,
"LVA","EDUTRY","25_34","PC_AGE","A","2019",43.811146,
"COL","EDUTRY","25_34","PC_AGE","A","2016",28.074512,
"COL","EDUTRY","25_34","PC_AGE","A","2017",28.106581,
"COL","EDUTRY","25_34","PC_AGE","A","2018",28.959703,
"COL","EDUTRY","25_34","PC_AGE","A","2019",29.873518,
"LTU","EDUTRY","25_34","PC_AGE","A","2016",54.926018,
"LTU","EDUTRY","25_34","PC_AGE","A","2017",55.625957,
"LTU","EDUTRY","25_34","PC_AGE","A","2018",55.581402,
"LTU","EDUTRY","25_34","PC_AGE","A","2019",55.187374,
